,Article Name,Description,Author(s),Author Type(s),Date,URL
0,Why Retail Media Networks Hide Their Tech Stacks From The Very Brands They Want To Attract,"Retail media networks hide their tech stacks, frustrating advertisers and stalling DSP integrations. Why secrecy hurts growth—and how transparency wins budgets.",,,,https://www.forbes.com/sites/kirimasters/2025/08/18/why-retail-media-networks-hide-their-tech-stacks-from-the-very-brands-they-want-to-attract/?ss=digitaltransformation
1,"Brain Rot Marketing, Gamification And Crowdsourcing: Three Lessons From The Labubu Fad","What Labubu's popularity tells us about the intersection between brain rot marketing, gamification and crowdsourcing",,,,https://www.forbes.com/sites/anjanasusarla/2025/07/21/brain-rot-marketing-gamification-and-crowdsourcing-three-lessons-from-the-labubu-fad/?ss=digitaltransformation
2,Digital Transformation At Sea: Carnival's DXC Technology Alliance,Carnival Cruise Line's strategic partnership with DXC Technology demonstrates how enterprise IT modernization drives competitive advantage for large enterprise.,,,,https://www.forbes.com/sites/stevemcdowell/2025/07/21/digital-transformation-at-sea-carnivals-dxc-technology-alliance/?ss=digitaltransformation
3,What AI Can And Can’t Replace In Executive Coaching,"Discover how AI is transforming executive and business coaching. Learn what it does better, where it falls short, and how human coaches can stay valuable in the market.",,,,https://www.forbes.com/sites/michaelashley/2025/07/08/what-ai-can-and-cant-replace-in-executive-coaching/?ss=digitaltransformation
4,Can Agentic AI Bring The Pope Or The Queen Back To Life — And Rewrite History?,"Elon Musk’s AI claims and Google’s launch of the Veo3 video model signal a shift toward agentic AI—systems that could digitally recreate figures like the Pope or Queen Elizabeth II to interact with the present. While these tools offer powerful new possibilities, they also raise serious concerns about misinformation and the ethical need to regulate how history is represented.",,,,https://www.forbes.com/sites/saharhashmi/2025/06/28/can-agentic-ai-bring-the-pope-or-the-queen-back-to-life---and-rewrite-history/?ss=digitaltransformation
5,Autonomous Vehicles Are Rolling Out—Here’s How Cities Can Lead,"Autonomous vehicles are arriving fast. Here's how cities can prepare—by rethinking curbs, sharing data, and shaping AV deployment to meet climate and mobility goals.",,,,https://www.forbes.com/sites/reginaclewlow/2025/06/23/autonomous-vehicles-are-rolling-out-heres-how-cities-can-lead/?ss=digitaltransformation
6,IBM Promises Enterprise-Ready Quantum Computing By 2029,"IBM announced plans for its IBM Quantum Starling, a fault-tolerant quantum computer  that will be ready in 2029. ",,,,https://www.forbes.com/sites/stevemcdowell/2025/06/12/ibm-promises-enterprise-ready-quantum-computing-by-2029/?ss=digitaltransformation
7,AI Agents Are Coming To Healthcare,"AI agents are entering healthcare not just as tools, but as digital workers. Here, I explore the jobs they’re taking on—and what it will take to unlock their potential.",,,,https://www.forbes.com/sites/spencerdorn/2025/06/10/ai-agents-are-coming-to-healthcare/?ss=digitaltransformation
8,Nutanix And Pure Storage Team Up To Answer VMware Uncertainty,Nutanix and Pure Storage partner to offer an integrated solution for virtualization as VMware customers seek alternatives under Broadcom ownership.,,,,https://www.forbes.com/sites/stevemcdowell/2025/05/07/nutanix-and-pure-storage--collaborate-to-answer-vmware-uncertainty/?ss=digitaltransformation
9,Atlassian’s Strategic Pivot From Dev Tools To Enterprise Powerhouse,"Atlassian is evolving from point solutions to an integrated enterprise platform, positioning it as a direct challenger to enterprise software giants.",,,,https://www.forbes.com/sites/stevemcdowell/2025/04/24/atlassians-strategic-pivot-from-dev-tools-to-enterprise-powerhouse/?ss=digitaltransformation
